00040000, 00010000, ffff0000
00040000, 0000e000, ffff0000
00040000, 0000c000, ffff0000
00040000, 0000a000, ffff0000
00040000, 00008000, ffff0000
00040000, 00006000, ffff0000
00040000, 00004000, ffff0000
00040000, 00002000, ffff0000
00040000, 00000000, ffff0000
00040000, ffffe000, ffff0000
00040000, ffffc000, ffff0000
00040000, ffffa000, ffff0000
00040000, ffff8000, ffff0000
00040000, ffff6000, ffff0000
00040000, ffff4000, ffff0000
00040000, ffff2000, ffff0000
00040000, 00010000, ffff2000
00040000, 0000e000, ffff2000
00040000, 0000c000, ffff2000
00040000, 0000a000, ffff2000
00040000, 00008000, ffff2000
00040000, 00006000, ffff2000
00040000, 00004000, ffff2000
00040000, 00002000, ffff2000
00040000, 00000000, ffff2000
00040000, ffffe000, ffff2000
00040000, ffffc000, ffff2000
00040000, ffffa000, ffff2000
00040000, ffff8000, ffff2000
00040000, ffff6000, ffff2000
00040000, ffff4000, ffff2000
00040000, ffff2000, ffff2000
00040000, 00010000, ffff4000
00040000, 0000e000, ffff4000
00040000, 0000c000, ffff4000
00040000, 0000a000, ffff4000
00040000, 00008000, ffff4000
00040000, 00006000, ffff4000
00040000, 00004000, ffff4000
00040000, 00002000, ffff4000
00040000, 00000000, ffff4000
00040000, ffffe000, ffff4000
00040000, ffffc000, ffff4000
00040000, ffffa000, ffff4000
00040000, ffff8000, ffff4000
00040000, ffff6000, ffff4000
00040000, ffff4000, ffff4000
00040000, ffff2000, ffff4000
00040000, 00010000, ffff6000
00040000, 0000e000, ffff6000
00040000, 0000c000, ffff6000
00040000, 0000a000, ffff6000
00040000, 00008000, ffff6000
00040000, 00006000, ffff6000
00040000, 00004000, ffff6000
00040000, 00002000, ffff6000
00040000, 00000000, ffff6000
00040000, ffffe000, ffff6000
00040000, ffffc000, ffff6000
00040000, ffffa000, ffff6000
00040000, ffff8000, ffff6000
00040000, ffff6000, ffff6000
00040000, ffff4000, ffff6000
00040000, ffff2000, ffff6000
00040000, 00010000, ffff8000
00040000, 0000e000, ffff8000
00040000, 0000c000, ffff8000
00040000, 0000a000, ffff8000
00040000, 00008000, ffff8000
00040000, 00006000, ffff8000
00040000, 00004000, ffff8000
00040000, 00002000, ffff8000
00040000, 00000000, ffff8000
00040000, ffffe000, ffff8000
00040000, ffffc000, ffff8000
00040000, ffffa000, ffff8000
00040000, ffff8000, ffff8000
00040000, ffff6000, ffff8000
00040000, ffff4000, ffff8000
00040000, ffff2000, ffff8000
00040000, 00010000, ffffa000
00040000, 0000e000, ffffa000
00040000, 0000c000, ffffa000
00040000, 0000a000, ffffa000
00040000, 00008000, ffffa000
00040000, 00006000, ffffa000
00040000, 00004000, ffffa000
00040000, 00002000, ffffa000
00040000, 00000000, ffffa000
