
. Module name, ATOMS, SHARED ARITHMATIC MODE, COMB ARITHMETIC MODE, REGISTERS, SYNC RAMS, MACs
. ray_tracer_top, 4695, 796, 3318, 4241, 318, 112
.	. accumulate_10_32_12, 159, 44, 219, 262, 0, 9
.	. dummy_memory_10_32_12_1, 93, 0, 0, 78, 0, 0
.	. fifo_192_1024_11s, 19, 0, 22, 23, 20, 0
.	. hit_bool, 2293, 474, 1827, 1825, 147, 81
.	.	. Cross_32s_10s, 219, 126, 75, 64, 6, 18
.	.	.	. cross_module_32s_10s, 136, 126, 45, 1, 0, 18
.	.	.	. fifo_array_32s_512s_3s_12, 83, 0, 30, 63, 6, 0
.	.	.	.	. fifo_32s_512s_10s_0_17, 28, 0, 10, 21, 2, 0
.	.	.	.	. fifo_32s_512s_10s_0_18, 28, 0, 10, 21, 2, 0
.	.	.	.	. fifo_32s_512s_10s_0_19, 27, 0, 10, 21, 2, 0
.	.	. Cross_32s_10s_2, 213, 126, 75, 64, 6, 18
.	.	.	. cross_module_32s_10s_0, 136, 126, 45, 1, 0, 18
.	.	.	. fifo_array_32s_512s_3s_13, 77, 0, 30, 63, 6, 0
.	.	.	.	. fifo_32s_512s_10s_0_20, 26, 0, 10, 21, 2, 0
.	.	.	.	. fifo_32s_512s_10s_0_21, 25, 0, 10, 21, 2, 0
.	.	.	.	. fifo_32s_512s_10s_0_22, 25, 0, 10, 21, 2, 0
.	.	. Cross_32s_10s_3, 213, 126, 75, 64, 6, 18
.	.	.	. cross_module_32s_10s_1, 136, 126, 45, 1, 0, 18
.	.	.	. fifo_array_32s_512s_3s_14, 77, 0, 30, 63, 6, 0
.	.	.	.	. fifo_32s_512s_10s_0_23, 26, 0, 10, 21, 2, 0
.	.	.	.	. fifo_32s_512s_10s_0_24, 25, 0, 10, 21, 2, 0
.	.	.	.	. fifo_32s_512s_10s_0_25, 26, 0, 10, 21, 2, 0
.	.	. dot_32s_10s, 33, 32, 100, 22, 2, 9
.	.	.	. dot_module_32s_10s, 4, 32, 90, 1, 0, 9
.	.	.	. fifo_32s_512s_10s_1, 29, 0, 10, 21, 2, 0
.	.	. dot_32s_10s_0, 29, 32, 100, 22, 2, 9
.	.	.	. dot_module_32s_10s_0, 3, 32, 90, 1, 0, 9
.	.	.	. fifo_32s_512s_10s_1_0, 26, 0, 10, 21, 2, 0
.	.	. dot_32s_10s_1, 32, 32, 100, 22, 2, 9
.	.	.	. dot_module_32s_10s_1, 4, 32, 90, 1, 0, 9
.	.	.	. fifo_32s_512s_10s_1_1, 28, 0, 10, 21, 2, 0
.	.	. fifo_12s_1024s_11s_0, 20, 0, 22, 23, 0, 0
.	.	. fifo_12s_1024s_11s_1, 13, 0, 22, 27, 2, 0
.	.	. fifo_1s_1024s_11s, 18, 0, 22, 23, 1, 0
.	.	. fifo_array_32s_1024s_3s_0_6, 45, 0, 66, 80, 12, 0
.	.	.	. fifo_32s_1024s_11s_0_2_18, 15, 0, 22, 27, 4, 0
.	.	.	. fifo_32s_1024s_11s_0_2_18_0, 15, 0, 22, 28, 4, 0
.	.	.	. fifo_32s_1024s_11s_0_2_18_1, 15, 0, 22, 25, 4, 0
.	.	. fifo_array_32s_1024s_3s_0_6_0, 42, 0, 66, 74, 12, 0
.	.	.	. fifo_32s_1024s_11s_0_2_18_2, 12, 0, 22, 24, 4, 0
