@W: FA406 |Environment variable QUARTUS_ROOTDIR not set. Cannot determine PAR version.
@W: FA352 |Not using the Clearbox flow might affect timing correlation and Quality of Results (QoR).
@W: FA239 :"/home/jco1147/ray_tracer/github/RayTracer/sv/top/dummy_memory.sv":37:12:37:15|ROM data_out_buf_2[355:352] (in view: work.dummy_memory_10_32_12_1(verilog)) mapped in logic. To map to a technology ROM, apply attribute syn_romstyle on this instance.
@W: FA239 :"/home/jco1147/ray_tracer/github/RayTracer/sv/top/dummy_memory.sv":37:12:37:15|ROM data_out_buf_2[322:321] (in view: work.dummy_memory_10_32_12_1(verilog)) mapped in logic. To map to a technology ROM, apply attribute syn_romstyle on this instance.
@W: FA239 :"/home/jco1147/ray_tracer/github/RayTracer/sv/top/dummy_memory.sv":37:12:37:15|ROM data_out_buf_2[297:295] (in view: work.dummy_memory_10_32_12_1(verilog)) mapped in logic. To map to a technology ROM, apply attribute syn_romstyle on this instance.
@W: FA239 :"/home/jco1147/ray_tracer/github/RayTracer/sv/top/dummy_memory.sv":37:12:37:15|ROM data_out_buf_2[274:273] (in view: work.dummy_memory_10_32_12_1(verilog)) mapped in logic. To map to a technology ROM, apply attribute syn_romstyle on this instance.
@W: FA239 :"/home/jco1147/ray_tracer/github/RayTracer/sv/top/dummy_memory.sv":37:12:37:15|ROM data_out_buf_2[229:224] (in view: work.dummy_memory_10_32_12_1(verilog)) mapped in logic. To map to a technology ROM, apply attribute syn_romstyle on this instance.
@W: FA239 :"/home/jco1147/ray_tracer/github/RayTracer/sv/top/dummy_memory.sv":37:12:37:15|ROM data_out_buf_2[200:199] (in view: work.dummy_memory_10_32_12_1(verilog)) mapped in logic. To map to a technology ROM, apply attribute syn_romstyle on this instance.
@W: FA239 :"/home/jco1147/ray_tracer/github/RayTracer/sv/top/dummy_memory.sv":37:12:37:15|ROM data_out_buf_2[195:192] (in view: work.dummy_memory_10_32_12_1(verilog)) mapped in logic. To map to a technology ROM, apply attribute syn_romstyle on this instance.
@W: FA239 :"/home/jco1147/ray_tracer/github/RayTracer/sv/top/dummy_memory.sv":37:12:37:15|ROM data_out_buf_2[178:177] (in view: work.dummy_memory_10_32_12_1(verilog)) mapped in logic. To map to a technology ROM, apply attribute syn_romstyle on this instance.
@W: FA239 :"/home/jco1147/ray_tracer/github/RayTracer/sv/top/dummy_memory.sv":37:12:37:15|ROM data_out_buf_2[133:132] (in view: work.dummy_memory_10_32_12_1(verilog)) mapped in logic. To map to a technology ROM, apply attribute syn_romstyle on this instance.
@W: FA239 :"/home/jco1147/ray_tracer/github/RayTracer/sv/top/dummy_memory.sv":37:12:37:15|ROM data_out_buf_2[130:128] (in view: work.dummy_memory_10_32_12_1(verilog)) mapped in logic. To map to a technology ROM, apply attribute syn_romstyle on this instance.
@W: FA239 :"/home/jco1147/ray_tracer/github/RayTracer/sv/top/dummy_memory.sv":37:12:37:15|ROM data_out_buf_2[106:103] (in view: work.dummy_memory_10_32_12_1(verilog)) mapped in logic. To map to a technology ROM, apply attribute syn_romstyle on this instance.
@W: FA239 :"/home/jco1147/ray_tracer/github/RayTracer/sv/top/dummy_memory.sv":37:12:37:15|ROM data_out_buf_2[101:96] (in view: work.dummy_memory_10_32_12_1(verilog)) mapped in logic. To map to a technology ROM, apply attribute syn_romstyle on this instance.
@W: FA239 :"/home/jco1147/ray_tracer/github/RayTracer/sv/top/dummy_memory.sv":37:12:37:15|ROM data_out_buf_2[82:81] (in view: work.dummy_memory_10_32_12_1(verilog)) mapped in logic. To map to a technology ROM, apply attribute syn_romstyle on this instance.
@W: FA239 :"/home/jco1147/ray_tracer/github/RayTracer/sv/top/dummy_memory.sv":37:12:37:15|ROM data_out_buf_2[34:32] (in view: work.dummy_memory_10_32_12_1(verilog)) mapped in logic. To map to a technology ROM, apply attribute syn_romstyle on this instance.
@W: FA239 :"/home/jco1147/ray_tracer/github/RayTracer/sv/top/dummy_memory.sv":37:12:37:15|ROM data_out_buf_2[10:7] (in view: work.dummy_memory_10_32_12_1(verilog)) mapped in logic. To map to a technology ROM, apply attribute syn_romstyle on this instance.
@W: FA239 :"/home/jco1147/ray_tracer/github/RayTracer/sv/top/dummy_memory.sv":37:12:37:15|ROM data_out_buf_2[28:0] (in view: work.dummy_memory_10_32_12_1(verilog)) mapped in logic. To map to a technology ROM, apply attribute syn_romstyle on this instance.
@W: FA239 :"/home/jco1147/ray_tracer/github/RayTracer/sv/top/dummy_memory.sv":37:12:37:15|ROM data_out_buf_2[355:352] (in view: work.dummy_memory_10_32_12_1(verilog)) mapped in logic. To map to a technology ROM, apply attribute syn_romstyle on this instance.
