@N: MF284 |Setting synthesis effort to medium for the design
@N: MF915 |Option synthesis_strategy=advanced is enabled. 
@N: MF248 |Running in 64-bit mode.
@N: MF666 |Clock conversion enabled. (Command "set_option -fix_gated_and_generated_clocks 1" in the project file.)
@N: FA350 |Clearbox flow is not supported when QUARTUS_ROOTDIR is not set
@N: FA351 |Clearbox flow is not supported because clearbox does not exist
@N: MF284 |Setting synthesis effort to medium for the design
@N: MH105 |UMR3 is only supported for HAPS-80.
@N: MH105 |UMR3 is only supported for HAPS-80.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/top/dummy_memory.sv":27:4:27:9|Removing sequential instance data_out_buf[5:0] (in view: work.dummy_memory_10_32_12_0(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/top/dummy_memory.sv":27:4:27:9|Removing sequential instance data_out_buf[12] (in view: work.dummy_memory_10_32_12_0(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/top/dummy_memory.sv":27:4:27:9|Removing sequential instance data_out_buf[10:7] (in view: work.dummy_memory_10_32_12_0(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/top/dummy_memory.sv":27:4:27:9|Removing sequential instance data_out_buf[17] (in view: work.dummy_memory_10_32_12_0(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/top/dummy_memory.sv":27:4:27:9|Removing sequential instance data_out_buf[45] (in view: work.dummy_memory_10_32_12_0(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/top/dummy_memory.sv":27:4:27:9|Removing sequential instance data_out_buf[43] (in view: work.dummy_memory_10_32_12_0(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/top/dummy_memory.sv":27:4:27:9|Removing sequential instance data_out_buf[34:32] (in view: work.dummy_memory_10_32_12_0(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/top/dummy_memory.sv":27:4:27:9|Removing sequential instance data_out_buf[82:81] (in view: work.dummy_memory_10_32_12_0(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/top/dummy_memory.sv":27:4:27:9|Removing sequential instance data_out_buf[101:96] (in view: work.dummy_memory_10_32_12_0(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/top/dummy_memory.sv":27:4:27:9|Removing sequential instance data_out_buf[106:103] (in view: work.dummy_memory_10_32_12_0(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/top/dummy_memory.sv":27:4:27:9|Removing sequential instance data_out_buf[108] (in view: work.dummy_memory_10_32_12_0(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/top/dummy_memory.sv":27:4:27:9|Removing sequential instance data_out_buf[113] (in view: work.dummy_memory_10_32_12_0(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/top/dummy_memory.sv":27:4:27:9|Removing sequential instance data_out_buf[130:128] (in view: work.dummy_memory_10_32_12_0(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/top/dummy_memory.sv":27:4:27:9|Removing sequential instance data_out_buf[133:132] (in view: work.dummy_memory_10_32_12_0(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/top/dummy_memory.sv":27:4:27:9|Removing sequential instance data_out_buf[139] (in view: work.dummy_memory_10_32_12_0(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/top/dummy_memory.sv":27:4:27:9|Removing sequential instance data_out_buf[141] (in view: work.dummy_memory_10_32_12_0(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/top/dummy_memory.sv":27:4:27:9|Removing sequential instance data_out_buf[145] (in view: work.dummy_memory_10_32_12_0(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"/home/jco1147/ray_tracer/github/RayTracer/sv/top/dummy_memory.sv":27:4:27:9|Removing sequential instance data_out_buf[160] (in view: work.dummy_memory_10_32_12_0(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
